"","SZAXPI003409.8","SZAXPI003410.3","SZAXPI003411.6","SZAXPI003412.1","SZAXPI003413.4","SZAXPI003414.3","SZAXPI003415.12","SZAXPI003416.4","SZAXPI003417.4","SZAXPI003418.8","SZAXPI003419.6","SZAXPI003420.4","SZAXPI003421.5","SZAXPI003422.11","SZAXPI003423.8","SZAXPI003424.12","SZAXPI003425.1","SZAXPI003426.11","SZAXPI003427.1","SZAXPI003428.6","SZAXPI003429.3","SZAXPI003430.5","SZAXPI003431.1","SZAXPI003432.12","SZAXPI003433.7","SZAXPI003434.7","SZAXPI003435.11","SZAXPI003436.7","SZAXPI003437.3","SZAXPI015209.133","SZAXPI015210.17","SZAXPI015211.166","SZAXPI015212.113","SZAXPI015213.15","SZAXPI015214.19","SZAXPI015215.20","SZAXPI015216.169","SZAXPI015217.140","SZAXPI015218.16","SZAXPI015219.129","SZAXPI015220.136","SZAXPI015221.142","SZAXPI015222.123","SZAXPI015223.158","SZAXPI015224.13","SZAXPI015225.18","SZAXPI015226.14","SZAXPI015227.13","SZAXPI015228.14","SZAXPI015229.15","SZAXPI015230.16","SZAXPI015231.17","SZAXPI015232.18","SZAXPI015233.19","SZAXPI015234.20","SZAXPI015235.21","SZAXPI015237.23","SZAXPI015238.24","SZAXPI015239.25","SZAXPI015240.26","SZAXPI015241.27","SZAXPI015242.30","SZAXPI015243.31","SZAXPI015244.32","SZAXPI015245.33","SZAXPI015246.34","SZAXPI015247.35","SZAXPI015248.36","SZAXPI015249.37","SZAXPI015250.39","SZAXPI015251.41","SZAXPI015252.43","SZAXPI015253.44","SZAXPI015254.45","SZAXPI015255.46","SZAXPI015256.47","SZAXPI015257.56","SZAXPI015258.57","SZAXPI015259.62","SZAXPI015260.74","SZAXPI015261.75","SZAXPI015262.79","SZAXPI015263.84","SZAXPI015264.87","SZAXPI015265.88","SZAXPI015266.89","SZAXPI015267.102","SZAXPI015268.109","SZAXPI015269.94","SZAXPI015270.90","SZAXPI015271.93","SZAXPI015272.108","SZAXPI015273.95","SZAXPI015274.111","SZAXPI017451.16","SZAXPI017452.17","SZAXPI017453.19","SZAXPI017454.20","SZAXPI017455.21","SZAXPI017456.23","SZAXPI017457.24","SZAXPI017458.25","SZAXPI017459.26","SZAXPI017460.27","SZAXPI017461.32","SZAXPI017462.33","SZAXPI017463.36","SZAXPI017464.37","SZAXPI017465.43","SZAXPI017466.84","SZAXPI017467.87","SZAXPI017468.88","SZAXPI017580.90","SZAXPI017581.93","SZAXPI017582.94","SZAXPI017583.102","SZAXPI017584.108","SZAXPI017585.109","SZAXPI017586.111","SZAXPI017587.113","SZAXPI017588.123","SZAXPI017589.133","SZAXPI017590.136","SZAXPI017591.140","SZAXPI017592.142","SZAXPI017593.158","SZAXPI017594.166","SZAXPI017595.169"
"Scardovia",0,0,0,0,0,0,0.00318,0,0,0,0,0,0,0.00076,0,0.03734,0,0,0,0,0,0,0,0,0,0,0,0,0.00821,0,0,0,0,0,0.00141,0,0,0,0,0.00062,0,0.00517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746,0.10527,0.01605,0,0,0.02185,0,0,0,0,0,0,0,0,0,0,0,0,0.00464,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01728,0,0,0,0,0,0,0,0,0,0,0.00366,0,0,0,0,0,0,0,0,0,0.00086,0,0,0,0.00181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156,0,0,0,0,0.00091,0,0,0,0,0,0.08321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01267,0.00272,0,0,0
"Rothia",0,0,0,0,0,0,0,0.02582,0,0.02789,0,0.16235,0,0.02609,0,0,0,0,0,1e-04,0.00344,0,0,0,0.00053,0.00507,0.00555,0,0.07235,0,0,0,0.02093,0,0.11296,0,0,0,0.05048,0,0.04397,0,0,0,0.01186,0.00262,0,0.08089,0.00455,0.00216,0,0,0,0.01079,0.00269,0.01046,0,0,0.00199,0,0.00569,0,0.02561,0.0062,0.00052,0.00307,0.00097,0.00849,0.00168,0.00036,0,0,0,0.00156,0,0,0.00573,0.02084,0.00271,0.01933,0.0464,0,0.00169,0,0,0.00175,0,0,0.00288,0,0.00041,0,0.04022,0.00621,0,0.00235,0,0.03611,0.00154,0.00041,0,0,0.00067,0,0.00429,0.00074,0,0,0,0,0.02437,0,0,0,0,0,0,0,0.12188,0.0075,0.03639,0,0.00759,0.01436,0.00165,0.00427,0.00159,0
"Arachnia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium",0,0,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,0.00627,0,0,0,0,0,0,0,0,0,0,0,0,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03611,0,0,0.01569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium",0,0,0,0,0,0,0.09087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0,0,0.00147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03835,0,0,0,0,0,0,0,0,0,0,0,0,0.00318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancefieldella",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01459,0,0.01341,0,0,0,0,0,0,0,0,0,0,0,0,0.27013,0,0.00584,0,0,0,0.00262,0,0,0,0,0.00329,0,0,0,0,0,0,0,0,0.00367,0.00184,0,0,0,0.00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00401,0,0,0.01205,0.05363,0,0,0,0.00147,0,0.00675,0,0,0,0.00105,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0
"Olsenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02078,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tractidigestivibacter",0.1591,0,0.04594,0,0,0,0.01255,0,0,0,0,0.00621,0,0.00249,0,0,0,0,3e-04,0,0,0,0,0.00059,0,0,0.07551,0.07772,0.00077,0.01048,0.01324,0.00156,0,0,0,0.00182,0.0012,0,0.24852,0,0.16358,0,0,0.00104,0.02282,0.16556,0,0.01865,0,0,0.01179,0,0,0,6e-04,0,0,0,0,0.00109,0.00247,0,0.00293,0.03985,0,0,0,0.04032,1.62805,0.06044,0.00331,0.43172,0,0.24613,0,0,0.00018,0.06848,0,0.00117,0,0,0.16052,0,0,0,0,0,0.00206,0,0,0,0,0,0,0,0,0.01226,1.78327,0.48274,0,0.00117,0,0,0,0.00947,0.00059,0,0,2.53775,0.0379,0,0,0.00166,0,0,0.00628,0,0,0,0.00078,0,0.01585,0,0.01419,0,0,0.00083
"Collinsella",2.4158,0.02835,13.07191,2.40421,0.90158,0.00925,5.11835,0,0.18101,0.74282,0.69556,0.43264,0.44171,2.01119,0.19129,3.66666,0.00396,0.39351,3.82613,0.00173,2.67416,1.25099,0.28509,0.81346,0.59887,0.00145,2.26036,1.27734,5.96885,0.07091,9.14965,10.75004,0.00052,0.0354,5.87257,3.82415,3.73498,0.37781,8.25483,0,1.27759,1.76975,1.02404,3.01843,2.74611,3.76696,0.07865,1.77349,6.92233,0.45595,1.77186,0.21123,0,1.53806,4.48449,0.92159,0.89886,1.08162,0,0.16381,0.6447,1.83735,0,1.00273,0.19025,0,0.10874,0.81829,0.0075,3.90794,0.00086,2.42661,2.01474,0,0.50532,0,1.76388,0.28544,2.19467,1.2465,0.20623,0.00145,0.65069,2.10127,0.26102,0.15467,0.29074,0.59955,1.22593,0.28676,0.54387,0.04726,1.23273,0,0.00587,1.30138,0.86514,1.29782,7.66878,0.98348,0.01201,1.7942,5.29662,0.01118,0.62645,0.22218,3.26942,0,0.00233,5.13601,0.61975,3.07434,1.30655,3.56765,0.74147,1.39666,0.31867,0,0.15336,0.44704,0.73432,0.88348,10.14496,1.50991,12.76007,0.9641,2.79321,10.93895
"Enorma",0.0021,0.01769,0.01411,0.00657,0.00092,0,0.67148,0,0.00027,0,0.00078,0.00121,0,0.00835,0.01062,0.0045,0,0,0.00229,0,0.00195,0.00119,0.00405,0.00183,0.25021,0,0.00425,0.00397,0.01064,0,0.00933,0.01102,0.00056,0,0.00359,0.00106,0.00964,0,0.0326,0,0,0.00122,0.00028,0.00629,0.00586,0.00731,0,0.00592,0.0021,0,0.00034,0,0,0.00139,0.00166,0,0.00111,0.00027,0,0.00877,0,0.00107,0.00598,0.00126,0,0,0,0.0014,0.07021,0.00472,0.07895,0.00338,0,0,7e-04,0,0.00266,0.00343,0.0017,0.01195,0,0,0,0,0.01335,0,0,0,0.00274,0,0,0,0.00149,0.01032,0,0.00084,0.00054,0.04406,0.01101,0.00045,0.0081,0.00316,0.00511,1.57055,0,0,0.00272,0,0,0.00912,0.00116,0,0,0.00912,0,0.00103,0.04072,0,0,0.00048,0,0.00153,0.00625,0,0.03821,0.0022,0.00344,0.00871
"Adlercreutzia",0.27267,0.0032,0.00442,0.23417,0.01574,0.24564,0.241,0.00074,0,4e-04,0,0.08329,0.07377,0.00321,0.00027,0.02174,0.27921,0.00179,0.00287,0,0,0,0.10243,0.03715,0.1029,0.01039,0.25097,0.49411,0.00925,0,0.00752,0.00382,0.00158,0,0,0.01103,0.1226,0.13991,0.09552,0,0,0,0.12424,0.20461,0.00281,0.03592,0.01257,0.14891,0,0,0.57118,0,0,0.36693,0.71155,0.02322,0,0,0,0,0.11829,0.03784,0.11076,0.00265,0,0.0066,0,0.19957,0.07332,0.30188,0.15018,0.04756,0.49964,0.0595,0.03649,0,0.00403,0.04939,0,0.00173,0.00101,0.13185,0.05358,0.03118,0.00164,0.00403,0.0016,0.00342,0,0,0.21515,0.00972,0,0.09946,0,0.09774,0.65894,0.00114,0.0011,0.1761,0.00119,0.00065,0,0.00137,0,0.08995,0.0258,0,0.01466,0.358,0.02695,0,0.04312,0.10019,0,0.02617,0.02439,0,0,0,0.05068,0.02905,0.12824,0.26904,0.20004,0.02532,0.2352,0.00152
"Denitrobacterium",0.00156,0,0.00424,0.00123,0,0,0,0,0,0,0,0,0,0.00057,0,0.00263,0,0,0,0,0,0,0,0,0,0.00106,0,0,0.00239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00184,0.0013,0,0,0,0,0,0,0.00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035,0.0013,0,0.00102,0,0,0,0,0,0,0,0,0,0.00133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345,0,0,0.00064
"Eggerthella",0,0.37705,0.08188,0.60763,0.01125,0.75849,0.06133,0.23856,0.01112,0.04229,0.09672,0,0,0.21537,0.59591,1.13322,1.17841,0.11003,0.15234,0,0.03092,0,0.06025,0.01668,0.18706,0.99767,0.31005,0.17489,0.7203,0.00314,0.02231,0.4467,0.56842,0.03576,0.01077,0,0.07159,0,0.03288,0.05476,0,0.06924,0.05937,0.05801,0,0.0997,0.00137,0.00071,0.04749,0.00711,0,0.05276,0.11801,0.24221,0.03692,0,0.24363,0.12184,0.04645,0.10333,0.04911,0,0.02555,0,0,0.95264,0.0942,0.02633,0.03044,0.29549,0.10666,0,0.06194,0.07011,0.00305,0.0167,0.7729,0,0.08178,0.08822,0,0.00964,0,0.04574,0.09033,0,0.17938,0,0,0,0,0,0.00616,0,0.01281,0.07781,0.39304,0.26732,0.08819,0.1252,0.26533,0.23087,0.31239,0.40658,0.00238,0.00952,0.13368,0.12723,1.73359,0,0.0041,0,0.13719,0.08946,0.14679,0,0,0.02636,0.07675,0.1409,0.11476,0.00705,0.07439,0.00744,0.09301,0,0.04116,0.42925
"Gordonibacter",0.0257,0.22632,0.02088,0.25946,0.16294,0.15735,0.26943,0.04716,0.00788,0.01023,0.01956,0.00106,0.00121,0.1391,0.10539,1.17041,0.23631,0.06953,0.03077,0,0.00751,0,0.02178,0.00325,0.09225,0.22025,0.22698,0.03552,0.16648,0,0.00197,0.22186,0.07855,0.02784,0.0274,0,0.07168,0,0.01296,0.01403,0,0.09794,0.00779,0.01517,0,0.03151,0.00808,0.02663,0.00812,0,0.07503,0.00827,0.01508,0.04823,0.98732,0.00344,0.0312,0.06154,0.01363,0.02637,0.04658,0.01445,0.0329,0.11965,0.00056,0.43917,0.05534,0.01363,0.17149,0.15696,0.04726,0.00065,0.1101,0.02551,0.03573,0.00353,0.12055,0.00078,0.01113,0.05184,0,0.05805,0,0.00839,0.04402,0.00213,0.05202,0.00092,0,0.01502,0.07211,0.00198,0.00253,0.0087,0.00333,0.26858,0.20975,0.04447,0.03703,0.18687,0.11068,0.03725,0.04122,0.1667,0,0.03156,0.13608,0.02028,0.52878,0.02342,0.00156,0,0.07904,0.01265,0.01311,0,0,0.00402,0.01317,0.0138,0.05258,0.00837,0.01627,0.05119,0.03186,0,0.01101,0.06586
"Slackia",0.59924,0,1.50336,0.12788,0,0,0,0,0,0,0,0.01542,0.00117,0.00059,0,0.00274,0,0,0,0,0,0,0,0,0,0,0.00054,0,0.00133,0,0.00035,0.00068,0,0,0,0.00563,0,0.01326,0,0,0.07703,0,0,0,0.00043,0,0,0.00311,0,0,0,0,0,0,0,0,0,0,0,0.00041,0,0,0,0.21189,0,0,0,0,0.00051,0.00036,0,0.00048,0,0,0,0,0,0,0,0.10295,0,0,0,0,0,0,0,0,0.14765,0.00049,0,0,0.00291,0,0,0,0.00077,0.00578,0.00076,0,0,0.00042,0,0,0,0,0,0,0,0.00083,0,0.02887,0,0.00905,0,0,0,0,0,0,0,0,0.52946,0,0.00481,0.00071,0,0.00069
"Saccharomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03514,0,0,0,0,0,0,0,0,0,0.01191,0,0.10081,0,0,0,0,0,0,0.02644,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00985,0,0,0,0,0,0,0,0,0.00223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides",2.92668,28.49814,0.54037,10.41641,15.12198,19.29817,1.60717,23.61666,25.6383,17.1384,37.33959,8.48619,9.52586,12.12766,21.63909,0.41651,15.26022,19.82416,11.02154,1.95368,32.60655,0.04314,20.93317,0.87824,37.13004,27.58554,12.14094,15.83852,0.36939,60.37599,3.93875,17.71178,0.33179,13.05415,18.63486,6.57534,5.64411,14.26332,9.36523,3.13925,0.70728,15.04883,14.23722,2.62634,0.35558,20.7058,11.71997,3.1447,36.36955,0.01641,15.65954,4.84105,56.091,0.71029,8.91952,18.12279,42.9799,6.30831,9.82929,44.62593,5.69546,5.54509,11.54103,5.06101,3.64932,4.37859,9.92208,1.12131,2.98859,8.2265,26.70982,1.42963,2.77204,25.17033,17.24381,39.40118,11.4751,8.10872,1.78378,7.37889,41.49281,22.5226,6.11224,7.62237,22.77108,11.68868,0.86645,22.06518,4.27084,21.2014,9.0271,29.35465,1.71774,15.46383,55.75696,6.57629,17.84993,16.57957,3.7986,3.49969,11.32366,12.24237,6.93017,13.17816,28.41601,30.43278,27.70986,26.5272,7.62771,25.5406,4.12267,3.70113,23.14104,5.0339,43.92771,29.3624,12.39856,39.45619,23.47569,3.29516,19.19979,4.89644,0.02441,4.00426,0.87069,7.44648,5.20912,2.28321
