"","SZAXPI003409.8","SZAXPI003410.3","SZAXPI003411.6","SZAXPI003412.1","SZAXPI003413.4","SZAXPI003414.3","SZAXPI003415.12","SZAXPI003416.4","SZAXPI003417.4","SZAXPI003418.8","SZAXPI003419.6","SZAXPI003420.4","SZAXPI003421.5","SZAXPI003422.11","SZAXPI003423.8","SZAXPI003424.12","SZAXPI003425.1","SZAXPI003426.11","SZAXPI003427.1","SZAXPI003428.6","SZAXPI003429.3","SZAXPI003430.5","SZAXPI003431.1","SZAXPI003432.12","SZAXPI003433.7","SZAXPI003434.7","SZAXPI003435.11","SZAXPI003436.7","SZAXPI003437.3","SZAXPI015209.133","SZAXPI015210.17","SZAXPI015211.166","SZAXPI015212.113","SZAXPI015213.15","SZAXPI015214.19","SZAXPI015215.20","SZAXPI015216.169","SZAXPI015217.140","SZAXPI015218.16","SZAXPI015219.129","SZAXPI015220.136","SZAXPI015221.142","SZAXPI015222.123","SZAXPI015223.158","SZAXPI015224.13","SZAXPI015225.18","SZAXPI015226.14","SZAXPI015227.13","SZAXPI015228.14","SZAXPI015229.15","SZAXPI015230.16","SZAXPI015231.17","SZAXPI015232.18","SZAXPI015233.19","SZAXPI015234.20","SZAXPI015235.21","SZAXPI015237.23","SZAXPI015238.24","SZAXPI015239.25","SZAXPI015240.26","SZAXPI015241.27","SZAXPI015242.30","SZAXPI015243.31","SZAXPI015244.32","SZAXPI015245.33","SZAXPI015246.34","SZAXPI015247.35","SZAXPI015248.36","SZAXPI015249.37","SZAXPI015250.39","SZAXPI015251.41","SZAXPI015252.43","SZAXPI015253.44","SZAXPI015254.45","SZAXPI015255.46","SZAXPI015256.47","SZAXPI015257.56","SZAXPI015258.57","SZAXPI015259.62","SZAXPI015260.74","SZAXPI015261.75","SZAXPI015262.79","SZAXPI015263.84","SZAXPI015264.87","SZAXPI015265.88","SZAXPI015266.89","SZAXPI015267.102","SZAXPI015268.109","SZAXPI015269.94","SZAXPI015270.90","SZAXPI015271.93","SZAXPI015272.108","SZAXPI015273.95","SZAXPI015274.111","SZAXPI017451.16","SZAXPI017452.17","SZAXPI017453.19","SZAXPI017454.20","SZAXPI017455.21","SZAXPI017456.23","SZAXPI017457.24","SZAXPI017458.25","SZAXPI017459.26","SZAXPI017460.27","SZAXPI017461.32","SZAXPI017462.33","SZAXPI017463.36","SZAXPI017464.37","SZAXPI017465.43","SZAXPI017466.84","SZAXPI017467.87","SZAXPI017468.88","SZAXPI017580.90","SZAXPI017581.93","SZAXPI017582.94","SZAXPI017583.102","SZAXPI017584.108","SZAXPI017585.109","SZAXPI017586.111","SZAXPI017587.113","SZAXPI017588.123","SZAXPI017589.133","SZAXPI017590.136","SZAXPI017591.140","SZAXPI017592.142","SZAXPI017593.158","SZAXPI017594.166","SZAXPI017595.169"
"Methanobacteriales",0.03291,0,21.18772,0.00262,0,0.0012,0,0,0,0,0,3.72272,0.04309,0,0,0.01804,0,0.03144,0,0,0,0,0,0,0,0,0,0.02073,0,0,0,0,0,0,0,0,0,3.24366,0,0,0.27447,0,0,1.16343,0,0,0,0,0,0,0.58094,0,0,0,0,0.4664,0,0,0,0.0095,0,0.10318,0,0,0.00545,0.05351,0,0,0,0,1.05117,0.39793,0,0,0,0,0,0,0,0,0,0,0,2.82252,0,0,0,2.09153,0,0,0,0,0,0,0,0,0,0.04452,0,0,3.89139,0.00246,0,0,0.06469,0,7.96256,0,0,0.00843,0,0.01031,0,0,0,0.00798,0,0,0,0,0.00724,0,0.07343,0,0,0.01292,0,0
"Bacillales",0.3781,0.09581,0.63373,0.00207,0.01494,0.00133,0.0071,0.1177,0,0.04979,0,0.23281,0.002,0.47158,0.00243,0.20511,0.00276,0.17689,0.01244,0.00278,0.06396,0.01294,0.09174,0,0.02159,0,2.00188,0.01132,0.03601,0.00821,0.02485,0.02938,0.04023,0,0.07044,0.00544,0,0.07471,0.83131,0.02105,0.00166,0.00047,0.02416,0.01227,0.07942,0.00114,0.06258,0.01272,0.01851,0.00214,0.01444,0.0022,0.00183,0.00759,0.06296,0.01505,0.04939,0,0.02144,0.00301,0.00408,0.00341,0,0.03727,0.00214,0.01427,0,0.01247,0,0.63426,0,0.00638,0.03789,0,0.01664,0,0.0182,0.01109,0.01241,0.01919,0,0,0.00262,0,0,0.00878,0.0021,0.04226,0,0.01037,0.0057,0,0.09141,0.05779,0.00394,0.11143,0.04951,0.21419,0.00465,0.00799,0,0.00739,0.00171,0,0.0096,0,0.01346,0.03922,0,0.08645,0.00611,0.03856,0,0.05267,0.04797,0.01133,0.11803,0,0.35894,0.00854,0.00773,0.0165,0.05654,0.00887,0.03527,0,0.01369,0.06682
"Lactobacillales",0.1409,0.20419,0.4121,0.75944,0.05459,0.05443,2.41279,0.061,0.00884,5.01173,0.70364,0.49047,0.31723,1.19139,1.54892,0.08873,0.11533,0.23396,0.11647,0.02019,3.04376,0.10861,0.22551,0.13791,1.67626,1.7744,0.17825,0.15416,7.12455,0.19446,1.96035,0.34762,3.8279,0.16325,0.74561,0.24518,0.39644,0.18812,0.22952,1.53337,2.0356,0.28339,0.09349,1.19775,0.87293,0.00706,0.33532,0.21652,2.48765,0.16594,0.1726,0.22088,0.74372,0.33434,0.36956,0.92752,0.06008,0.15757,0.2958,0.15883,0.11774,0.52561,0.32831,1.01579,0.13286,0.1405,0.39162,0.62659,0.71888,0.26038,0.48378,1.40316,1.3564,0.2104,0.1573,0.0361,0.23893,7.53517,2.64507,6.35693,0.18194,0.01974,0.0408,0.02564,0.03596,0.37407,0.40297,0.2316,0.07469,0.027,0.61612,1.0644,13.05876,0.1503,0.97143,0.35077,0.18751,18.38384,35.58496,7.30804,0.13645,1.29575,4.35992,0.53879,1.90939,0.07499,0.05471,0.02182,0.25312,0.39556,0.16843,0.12523,0.07292,2.20038,0.07062,0.16087,0.07536,0.22797,1.3673,0.80966,0.47946,0.12563,0.17334,0.16797,0.91925,0.62965,0.65147,1.80273
"Eubacteriales",24.78231,37.08504,21.03566,55.4141,36.23306,12.88125,66.99012,20.28567,17.37978,14.90963,13.64859,22.40815,32.87978,48.92027,20.88469,61.18277,30.201,10.22834,13.60161,11.42787,13.76816,21.11496,22.70742,15.46943,22.21105,26.94692,32.71294,27.40533,70.31627,5.95808,47.08387,17.29673,72.18025,36.95795,9.00137,36.27176,48.98895,28.02993,35.96055,80.50786,24.1292,74.59487,26.24007,64.5704,73.7957,31.46212,37.69832,75.8864,18.54514,2.10601,58.79521,11.41703,24.37563,40.58376,46.21844,44.7272,11.61188,39.29956,0.6634,22.42572,81.39536,63.32429,17.32135,72.91383,32.43766,84.58876,44.2536,82.31958,47.46742,47.03901,23.37957,46.29149,79.38128,37.4388,55.64055,16.71305,69.0347,64.26543,54.84978,27.27829,22.23981,44.77186,34.13852,36.06677,47.77427,42.53525,16.73907,33.78395,51.12104,48.86739,59.74836,37.29718,46.93397,57.14853,10.40182,75.13574,28.46781,32.64358,24.9312,60.46291,40.00503,60.02762,47.41209,53.33726,10.81407,30.43613,16.50761,32.69682,31.73263,21.15891,20.91746,27.13682,34.38214,41.89156,11.07505,17.90219,7.52324,17.2804,43.18993,40.95705,37.27309,22.64268,38.36989,83.84983,71.32365,35.76899,75.8937,18.87639
"Erysipelotrichales",0.40789,0.34005,1.18692,0.99683,0.24294,0.11589,0.12036,1.04365,0.01877,0.10964,0.00071,0.01945,0.28783,0.57605,1.34139,1.94864,0.36872,0.17206,1.12897,0.14895,0.02131,6.4621,0.03488,0.01615,0.15429,1.21573,6.11245,1.39351,0.58581,0.04545,0.08086,0.9312,0.13053,0.09027,0.64728,0.53929,0.0987,0.06268,0.62246,2.46177,0.07008,0.11846,0.02356,0.08217,1.89358,0.65806,0.2875,1.27678,0.05455,0.0124,2.31699,0.16701,1.29601,0.14231,0.45269,0.34294,1.10672,0.02767,0.00164,0.59451,0.10755,0.61186,0.00685,0.4493,0.54538,0.30835,0.1076,0.19949,0.04403,6.4302,0.11269,0.11118,0.32941,1.17572,0.00205,0.13446,0.30919,2.6475,0.45703,0.16007,0.1189,0.04079,0.2536,0.60702,0.08668,0.05384,0.09759,0.12864,1.6701,0.02172,3.07576,0.00173,0.04936,0.08575,0.99659,0.17059,0.47823,1.52962,2.49111,0.83298,0.0393,0.02526,0.51132,2.05783,0.04511,0.11631,0.52233,0.53284,0.08236,3.6311,0.00314,0.08567,0.21899,5.79718,0.80833,0.21006,0.39821,0.16349,0.32086,0.8099,0.47222,0.04813,0.59677,0.04599,0.33017,0.17158,0.03137,0.63495
"Acidaminococcales",2.50953,0.40088,0.11834,1.24682,1.48044,0.04312,0.36727,0.72451,0.0062,1.60321,0,0.00815,0.30201,1.28567,21.12474,0.04993,1.37943,1.02062,0.71004,5e-04,0.17415,12.79187,0.54698,0.07058,0.77416,0.10515,0.08368,2.72186,0.1178,3.09732,0.01909,0.05056,0.34623,5.50901,0,0.53596,0.74912,1.90792,1.97915,0.30715,4.5777,0.11411,4.71036,1.31041,0.05631,0.0972,1.94021,0.42176,2.39383,0.02271,0.1977,0.31334,0,0,0.19591,1.54462,2.03902,2.67022,0.962,0.99551,0.07747,2.457,0.68649,1.32917,2.64977,0.00068,0.00034,2.11983,0,0.32545,1.39833,0.06505,0.03557,0.97988,0.52909,2.5446,0.61503,0.03424,0.29605,0.05248,0.16469,0.7122,0.03785,5.55404,1.01437,0.76435,1.78734,1.702,0.05077,1.44941,2.5856,0.59284,9.51204,0,0,0.08792,0.70673,0.22889,0.01831,1.75693,0.53291,2.01329,0,1.43637,3.22593,0.55508,0.79323,0.43359,0,2.16075,0.47791,1.86717,1.66718,0.57496,1.33848,1.33834,1.40298,0.91451,4.01404,3.44401,1.76419,0.7537,3.46774,0.81988,0,1.53574,0.04312,3.76096
"Selenomonadales",0.09577,0.01366,0.32077,0,0.01653,0,0,0.00759,1.14153,0,0.0114,1.07623,1.45516,4.11506,0.04992,0,0,0,2.75421,0,8.02286,0,6.94494,0.00881,0.6009,0,0,1.30668,0,1.43215,0.05968,0,6.23615,0.00574,0,3.43462,0,0,0.77077,0,0.80482,0.18861,22.45638,0,0.00032,0,2.81939,0,0.00855,0.21779,0,0,0,0,0,2.78785,0,0,0.14826,0.02939,0,3.74137,0,0.13139,0,0,0,1.02385,1.86066,0,0,0.25393,0,0,0,3.17929,0,0,7.1291,0.05058,0.12384,0.0047,1.92472,0,0,0.23506,0,0,0.002,0,0,0.22062,2.08331,0,0,0.00124,0,0,0.3287,0,0,0.04294,0.09067,0,1.97779,0,0,1.75079,0,0.41184,0,0,0.56022,0.06224,0,0,0,0,0.53585,4.6691,0.25441,0,0.27443,0,0,1.3704,0.09406,0
"Veillonellales",0.33366,0.52018,0.20106,0.19219,1.34467,0.00321,0.00547,4.33634,0.02349,0.57705,3.51308,4.78365,0.02628,0.65821,1.31732,0.08781,0.02079,0,0.05342,6.9586,0.27258,0.24889,0.36617,0.738,1.06404,4.05883,0.82746,1.24271,0.15373,3.73537,3.15426,17.56145,3.59359,1.37074,0.00686,6.12416,0.00491,0.44214,5.46341,0.06253,0.88061,0.22099,0,6.30951,10.38214,0.00596,1.38288,0.05364,1.11173,0.09312,0.02689,6.79244,5.17025,38.09865,0.00031,2.87329,0.73648,0.04379,0.00103,0.35085,0.00387,0.12229,5.47038,0.27282,0.10759,0.30062,0.73274,0.45613,7.49238,0.37963,0.18769,7.31517,2.81454,0.74479,0.06805,0,0,7.6533,5.09325,0.58494,3.10772,2.82275,7.77876,0,0.10168,4.67198,0.30375,0.27039,0.00192,0,1.5637,1.81812,5.49788,0.42954,2.079,0.27607,0.00304,0.12538,12.87174,0.453,0.00974,2.90553,15.57353,0,1.08954,1.33981,0.06463,0.31993,0,2.27723,4.69846,0.0505,0.21201,0.06086,0.63573,0.02714,0.04197,0.08852,0.7988,7.11173,0.07225,8.72247,0.11975,0,0.00889,16.1966,2.16604,0.05799
"Tissierellales",1.4411,0.53082,2.03016,1.43195,0.41236,0.00646,0.00371,0.25075,0,0.00253,0,0.00425,0.00172,1.03801,0,0.00952,0,0.10013,0,0.0083,0,4e-04,0.13464,0.00037,0,0,8.14285,0.0175,0.01508,0,0.00897,0.05331,0,0.0027,0,0,0,1.28012,4.15342,0,0,0.4964,0.29564,0,0,0.00078,0.10255,0,0,7e-04,0,0,0,0,0,0,0.01684,0,0.00018,0.0133,0,0,0,0,0,0,0.00232,0,0,2.13029,0,0,0,0,0.00719,0,0,0,0,0,0.00907,0,0,0,0,0,0,0.00224,0,0,0,0,0,0,0,0.0051,0.27975,0,0.01596,0,0.0061,0,0,0,0,0,0.23588,0.29494,0,0.10156,0,0.0936,0.07654,1.3146,0.03169,0.05802,0.25909,0.00273,1.07481,0.00349,0,0.01174,0.01549,0,0,0,0,0.10842
"Fusobacteriales",0,0.40064,0.07395,0.0272,0,0,0,0.35092,0.27815,0.05461,0.00553,0,0,2.55086,0.01697,0,0,0,7.6776,1.61452,0.00981,0,0.09836,0,0.00356,0.05638,0.23877,0,0.01821,1.07923,0.00866,0.10639,0,0.05955,13.92729,0,0.00396,0.18199,1.10827,0.02676,0.00111,0.05178,6.11701,0.0014,0,0,0.37931,0,0.01657,0,0,0,1.8804,0,0,0,2.45641,0,0,0.00058,0,0,0,0,0,0,0,0,0,0.08682,0,0,0,0.20936,0.93137,2.40636,0,0,0.01127,0.00494,0,0,0,0,0,0,0,0,0,0,0,0,0.13906,0,0,0.00839,0.01813,0.58849,0,0.14741,0,0.00529,0,0,1.3833,0.0199,0.37511,1.05464,0,0.3196,0,0.19737,0.13637,0.28247,1.12733,0.48756,0.02672,0.62741,0.8021,0.06465,0.09885,0.09393,0,0,0,0.00482,0.10578,0.83844
"Victivallales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231,0,0.00554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0,0,0.00281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkholderiales",0.16546,0.04527,0,0.22383,0,0,0,0.00036,0.16016,0.71526,0.60867,0,0.14269,0.05139,0,0,0,0,0.24836,0,1.24528,0,0,0,0.7369,0,0.08078,0.05918,0,0,0,0.03602,0.05196,0,0.10584,0,0.35103,0.08202,1.69438,0,0,0.05549,0.04723,0.05248,0.01534,0.16711,0,0.01155,0,0,0,0,0,0.07579,1.27188,0.01479,0.2941,0,0.39744,0,0,0.00855,0.16349,0.01019,0,0.00348,0.24028,0,0.09177,0.04859,0.06746,0.00078,0.21671,0.42506,0.18047,0,0,0.00447,0.29576,0,0,1.06117,0.22982,0.49818,0.35994,0.01773,0,0.9366,0.00402,0.02687,0.11361,0.0106,0,0.03626,0,0,0.86242,0,0,0.04867,0.55181,0.39544,0,0,5.0143,1.50717,0,0,0,0.53784,0.12319,0,0.09935,0,0.31987,0.04702,0.18791,0.05399,0,0,0.04679,0,0,0,0,0.22958,0,0.02877
"Neisseriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09403,0,0,0.01048,0.00728,0,0,0,0.00884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00612,0.0283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,0,0,0,0.02385,0,0,0,0,0,0,0
