"","SZAXPI003409.8","SZAXPI003410.3","SZAXPI003411.6","SZAXPI003412.1","SZAXPI003413.4","SZAXPI003414.3","SZAXPI003415.12","SZAXPI003416.4","SZAXPI003417.4","SZAXPI003418.8","SZAXPI003419.6","SZAXPI003420.4","SZAXPI003421.5","SZAXPI003422.11","SZAXPI003423.8","SZAXPI003424.12","SZAXPI003425.1","SZAXPI003426.11","SZAXPI003427.1","SZAXPI003428.6","SZAXPI003429.3","SZAXPI003430.5","SZAXPI003431.1","SZAXPI003432.12","SZAXPI003433.7","SZAXPI003434.7","SZAXPI003435.11","SZAXPI003436.7","SZAXPI003437.3","SZAXPI015209.133","SZAXPI015210.17","SZAXPI015211.166","SZAXPI015212.113","SZAXPI015213.15","SZAXPI015214.19","SZAXPI015215.20","SZAXPI015216.169","SZAXPI015217.140","SZAXPI015218.16","SZAXPI015219.129","SZAXPI015220.136","SZAXPI015221.142","SZAXPI015222.123","SZAXPI015223.158","SZAXPI015224.13","SZAXPI015225.18","SZAXPI015226.14","SZAXPI015227.13","SZAXPI015228.14","SZAXPI015229.15","SZAXPI015230.16","SZAXPI015231.17","SZAXPI015232.18","SZAXPI015233.19","SZAXPI015234.20","SZAXPI015235.21","SZAXPI015237.23","SZAXPI015238.24","SZAXPI015239.25","SZAXPI015240.26","SZAXPI015241.27","SZAXPI015242.30","SZAXPI015243.31","SZAXPI015244.32","SZAXPI015245.33","SZAXPI015246.34","SZAXPI015247.35","SZAXPI015248.36","SZAXPI015249.37","SZAXPI015250.39","SZAXPI015251.41","SZAXPI015252.43","SZAXPI015253.44","SZAXPI015254.45","SZAXPI015255.46","SZAXPI015256.47","SZAXPI015257.56","SZAXPI015258.57","SZAXPI015259.62","SZAXPI015260.74","SZAXPI015261.75","SZAXPI015262.79","SZAXPI015263.84","SZAXPI015264.87","SZAXPI015265.88","SZAXPI015266.89","SZAXPI015267.102","SZAXPI015268.109","SZAXPI015269.94","SZAXPI015270.90","SZAXPI015271.93","SZAXPI015272.108","SZAXPI015273.95","SZAXPI015274.111","SZAXPI017451.16","SZAXPI017452.17","SZAXPI017453.19","SZAXPI017454.20","SZAXPI017455.21","SZAXPI017456.23","SZAXPI017457.24","SZAXPI017458.25","SZAXPI017459.26","SZAXPI017460.27","SZAXPI017461.32","SZAXPI017462.33","SZAXPI017463.36","SZAXPI017464.37","SZAXPI017465.43","SZAXPI017466.84","SZAXPI017467.87","SZAXPI017468.88","SZAXPI017580.90","SZAXPI017581.93","SZAXPI017582.94","SZAXPI017583.102","SZAXPI017584.108","SZAXPI017585.109","SZAXPI017586.111","SZAXPI017587.113","SZAXPI017588.123","SZAXPI017589.133","SZAXPI017590.136","SZAXPI017591.140","SZAXPI017592.142","SZAXPI017593.158","SZAXPI017594.166","SZAXPI017595.169"
"Tissierellia",1.4411,0.53082,2.03016,1.43195,0.41236,0.00646,0.00371,0.25075,0,0.00253,0,0.00425,0.00172,1.03801,0,0.00952,0,0.10013,0,0.0083,0,4e-04,0.13464,0.00037,0,0,8.14285,0.0175,0.01508,0,0.00897,0.05331,0,0.0027,0,0,0,1.28012,4.15342,0,0,0.4964,0.29564,0,0,0.00078,0.10255,0,0,7e-04,0,0,0,0,0,0,0.01684,0,0.00018,0.0133,0,0,0,0,0,0,0.00232,0,0,2.13029,0,0,0,0,0.00719,0,0,0,0,0,0.00907,0,0,0,0,0,0,0.00224,0,0,0,0,0,0,0,0.0051,0.28186,0,0.01596,0,0.0061,0,0,0,0,0,0.23588,0.29494,0,0.10156,0,0.0936,0.07654,1.3146,0.03169,0.05802,0.25909,0.00273,1.07481,0.00349,0,0.01174,0.01549,0,0,0,0,0.10842
"Fusobacteriia",0,0.40064,0.07395,0.0272,0,0,0,0.35092,0.27815,0.05461,0.00553,0,0,2.55086,0.01697,0,0,0,7.6776,1.61452,0.00981,0,0.09836,0,0.00356,0.05638,0.23877,0,0.01821,1.07923,0.00866,0.10639,0,0.05955,13.92729,0,0.00396,0.18199,1.10827,0.02676,0.00111,0.05178,6.11701,0.0014,0,0,0.37931,0,0.01657,0,0,0,1.8804,0,0,0,2.45641,0,0,0.00058,0,0,0,0,0,0,0,0,0,0.08682,0,0,0,0.20936,0.93137,2.40636,0,0,0.01127,0.00494,0,0,0,0,0,0,0,0,0,0,0,0,0.13906,0,0,0.00839,0.01813,0.58849,0,0.14741,0,0.00529,0,0,1.3833,0.0199,0.37511,1.05464,0,0.3196,0,0.19737,0.13637,0.28247,1.12733,0.48756,0.02672,0.62741,0.8021,0.06465,0.09885,0.09393,0,0,0,0.00482,0.10578,0.83844
"Lentisphaeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231,0,0.00554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0,0,0.00281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betaproteobacteria",0.16546,0.04527,0,0.22383,0,0,0,0.00036,0.16016,0.71526,0.60867,0,0.14269,0.05139,0.05951,0,0,0,0.24836,0,1.24528,0,0,0,0.7369,0,0.08078,0.05918,0,0,0,0.03602,0.05196,0,0.10584,0,0.35103,0.08202,1.78841,0,0,0.06597,0.05451,0.05248,0.01534,0.16711,0.00884,0.01155,0,0,0,0,0,0.07579,1.27188,0.01479,0.2941,0,0.39744,0,0,0.00855,0.16349,0.01019,0.00612,0.03178,0.24028,0,0.09177,0.04859,0.06746,0.00078,0.21671,0.42506,0.18047,0,0,0.00447,0.29576,0.00786,0,1.06117,0.22982,0.49818,0.35994,0.01773,0,0.9366,0.00402,0.02687,0.11361,0.0106,0,0.03626,0,0,0.86242,0,0,0.04867,0.55181,0.39544,0,0,5.0143,1.50717,0,0,0,0.53854,0.12319,0,0.09935,0,0.31987,0.04702,0.18791,0.05399,0,0,0.07064,0,0,0,0,0.22958,0,0.02877
"Deltaproteobacteria",1.74043,0.75904,0.07889,0.44646,0.12508,0.34374,0,0.02733,0.26338,0.18703,0.14786,1.38547,0.05803,1.63023,0.01709,0,0.52387,0.16143,0.49841,0.01528,0.36643,0,0.20376,0.01935,0.88346,0.12755,0.53366,0.16024,0.02534,0.52076,0.00792,0.34392,0.00116,0.09724,0.90699,0.25702,0.31356,0,1.47285,0,0.28073,0.031,0.11432,0.0053,0.0258,0.81598,0.0425,3.56038,0.0947,0.00014,0.04457,0.07769,0.21412,0.23615,0.51667,0,0.31134,0.0174,0.04104,0.17179,0.12454,0.27637,1.27587,0.86444,0.02681,0.05881,0,0.00927,0,0.56126,1.00588,0,0.02564,0.08136,0.14504,0.08287,0.05637,0.0053,0.00188,0.33746,1.01212,0.40701,0.10335,0.00263,0.17576,0.13143,0.66735,1.41726,1.24242,0.09311,0.01169,0,0.10703,0,0,0.01189,0.08518,0.02801,0,0.05096,0.16597,0.1589,0.59518,0.85784,1.33776,0.11974,0.10568,0.07389,0,0.65946,0.05098,0.02417,0.31515,0.16067,0.23252,0.14458,0.08042,0.08978,0.2485,0.10932,0.15286,0.2568,0.28351,0.40232,0.04101,0.32506,0.06949,0.55408
"Epsilonproteobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00762,0,0,0,0,0,0,0,0,0,0,0,0,0.00594,0,0,0,0,0,0,0,0,0,0,0.05696,0.02857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00528,0,0,0,0,0,0,0,0,0,0.00314,0,0,0,0,0,0,0,0,0,0,0,0,0.00203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241,0,0.00721,0,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,0,0
"Gammaproteobacteria",21.1403,6.37113,0.33824,0.84425,0.57246,2.2501,9.66974,0.60283,37.01382,35.19627,0.01755,1.06544,3.40849,11.04204,0.56513,0.25326,10.00708,39.56114,1.0256,2.83617,0.61746,0.29799,1.45971,80.44316,1.08894,1.54204,0.81129,1.08497,6.51148,0.15831,1.25771,0.93347,2.70191,5.47752,3.66068,1.20709,0.05452,0.23416,1.32454,3.53653,0.0374,0.11914,0.59259,0.00912,0.80017,2.39598,2.32813,3.82848,0.1695,96.5664,0.03641,1.79613,9.60058,1.83455,5.54525,2.68256,1.76176,36.07442,0.25238,0.8868,5.21972,1.43057,46.60416,5.84551,1.02359,1.74835,8.41813,0.88231,0.69597,0.31304,3.46788,0.71051,3.33572,0.60584,8.77003,0.07417,0.60431,0.85047,2.25572,44.07586,0.70988,0.00674,0.25955,0,0.06752,0.32748,73.33876,1.16682,0.4707,0.04057,0.1578,0.0058,1.33819,9.06214,29.70901,0.20959,8.56165,22.18993,0.14887,14.36638,0.11642,1.89985,0.00436,0,1.06455,0.73372,0.0597,0.03143,0.34624,0.16477,0.29027,3.10723,0,2.97275,0.95105,0.17196,0.96458,8.73318,0.66737,7.5247,9.37518,0.19072,38.71746,0.07643,3.2588,0.29285,0.08633,42.23634
"Spirochaetia",0,0,0,0,0.00112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistia",0.01365,0.00121,0,0,0.05141,0,0,0,0.00304,0,0,0.01374,0,0.00478,0,0,0,0.05633,0.0168,0,0,0,0,0.00057,0.2715,0,0.21532,0.27642,0,0,0,0.03188,0,0,0,0.00348,1.0845,0.34477,0.38871,0.05681,0.00629,0,0.02071,0.01232,0.00512,0,0.01927,0,0,0,0,0,0,0,0,0.00093,0.00167,0,0,0.00438,0.00409,0,9e-04,0.00238,0,0.00679,0,0,0,0.09903,0.00096,0.00075,0,0.01946,0.00093,0.0041,0.00923,0.00043,0,0.03021,0.01291,0,0.0039,0.05737,0,0,0,0,0.06376,0,0.00963,0,0,0,0,0,0.53098,0,0,0,0.37424,0,0,0,0.01756,0,0.00642,0.02197,0.06833,0.10072,0,0,0.02088,0.29935,0,0,1.3977,0,0,0,0,0,0.02184,0,0,0.01624,0.00057,0.17965
"Unknown",1.96709,3.24945,0.09995,3.70953,2.70429,2.74742,0.05007,0.21322,0.43778,0.98002,2.29781,0.46854,0.59036,0.14451,0.04781,0.35135,2.1613,0.17863,0,0,0.95199,0,0.00407,0.01004,0.25414,0,3.78683,4.66662,0,0.08731,0.01461,2.15194,0.41733,1.18353,0.13904,0.0608,5.82019,0.43923,1.11932,0,1.04311,1.00096,0.00276,0.56746,0.14633,2.0549,0.36671,0.87886,0,0.00381,0.63492,0.08011,0,1.08922,0.51557,0.09947,1.50718,0.01519,0.01946,2.39919,0.89423,0.27499,2.32322,0.75648,0.20046,0.02905,2.51802,0.46151,1.20089,2.14836,0.56515,0.20544,3.39759,2.76922,0.39578,0.02949,5.36254,0.50967,0.71313,0,0.0091,0.83463,0.96776,4.2711,2.63544,0.35559,0.0476,0.92583,1.89988,0.35173,5.9556,0.11695,0.02533,0.01856,0,0,3.02269,1.10763,0,1.74638,0.37933,0.58053,0,0.44575,0.30349,4.32173,5.19613,0.66628,4.12807,3.45153,0.88655,0.22566,0.12336,0.14618,1.66444,0.19126,2.26465,0.37712,4.18486,0.00761,0.36478,0,0.12754,0.3821,6.09084,1.79713,0.74739,0
"Verrucomicrobiae",25.51215,10.95862,0.01264,4.83142,11.62145,0.00418,0.00211,0.00181,0.00617,0.33465,0.00123,0.0155,0.02354,0.00677,0.00993,12.81751,0.08789,0.06117,4.14194,72.0143,0.00373,0.15604,0.00038,0.00513,0.00037,0.45011,0.75381,0.45155,0.10861,0,0,0.00444,0,0,0,0.00553,6.48586,25.20702,0.26393,0,0,0.05885,0,0,0.02756,11.29907,1.9207,0.47713,0,0,0.02642,2.73754,0,0,4.70809,0,0,0,0,0.38938,0,0,0.01184,0,0.07532,0.00275,0.64126,0,0,0.21172,1.73223,0.0244,0,0,0.49902,0.22326,0,0.24189,0,0,0.28022,0,2.04924,0,0,0,0.03147,0,0.61764,0.08313,0.0251,0,0,0,0,0,9.96896,0.00515,0,0,0,0,0,0,7.08438,0,0,0,28.94276,2.08047,0.00153,0,0.02727,19.32638,0,0.00182,0.0063,2.58959,0,0.24423,0,0,0.02509,0.12942,1.67161,0,0,0.03676
